PC1,PC2,PC3,PC4,PC5,PC6,PC7,confID,year,playoff,tmID
-4.124118903766119,-1.8093763276938932,-0.2053099489367909,0.45748582089456163,0.977814677000069,-0.19351595646548564,-0.5310369022922655,0,2,1,CHA
1.5867765476348918,-0.6291649398334789,-1.5312765372789061,-0.07006530000365158,0.19056813847669427,0.3233471443404299,1.0435127806387914,0,2,1,CLE
-2.2557612567946737,1.7596039042604226,-0.6560777458608122,0.4077680116096221,0.010082093308761147,-1.1146763366309675,0.016219732726640207,0,2,0,DET
5.615085225301068,1.163879706494533,-1.5519246367810575,0.6046890690329675,1.0749858374291024,-0.7494178757250767,-2.1097091533525045,1,2,1,HOU
-3.6299584487051066,1.0631918608917308,-0.30434105767588543,0.6857909581475662,1.0157674840394588,-1.2513288939498972,0.25286283730304593,0,2,0,IND
4.445735096745986,0.9462055623021632,-0.7178293443836347,-1.6356492197037382,-1.3532169153191582,-0.26089848260234966,-0.2399954885771473,1,2,1,LAS
-2.4370222793936027,-0.800323498189575,-1.4024639146731006,-0.6276920437648987,0.7558308755098979,-0.48295311106737354,-0.9917077199719287,0,2,1,MIA
-2.442095844900777,-0.19062591838832713,-1.946909838277841,0.6984100136374956,-0.24731089233557454,0.25928385480216914,-1.6503628968804356,1,2,0,MIN
3.291068813448903,-0.27148114149302516,-2.27077881690743,0.696344105343962,1.0951481516364105,-0.13582481980679054,0.2980495167417619,0,2,1,NYL
-0.17358561168013964,-0.44778326210176395,-1.922482115010584,-0.11657617640622132,-0.22359538544827123,0.20165823428392377,0.20450839705829268,0,2,0,ORL
-0.6022933919708099,2.471251656029527,-1.8099146754810864,-0.3544205889973247,0.048393342788562166,-1.4431896848983052,-0.49781248876230133,1,2,0,PHO
-3.6503179969822974,-1.3535086398018035,-0.8401211007470308,0.34453094006951895,0.6282263637574266,-0.0949185653952893,-0.8159795390089187,1,2,0,POR
1.4514491881700926,0.46118371330355906,0.4312133211347508,-2.5876059066763943,-0.15193164618207403,1.0953824496155211,0.1995512700084121,1,2,1,SAC
-5.016799279984455,-2.2947870046047933,-0.9425406195973759,0.5072747197880337,2.162613396318507,-0.48682854039608553,-0.3942587804735804,1,2,0,SEA
-1.117902231783535,3.526366256008574,0.25367594948202565,-1.9974436295555444,1.3058058201481109,1.922926122344533,-0.05698347459037467,1,2,1,UTA
-1.4363910042131198,1.898232134937644,-1.4822964008524593,0.0628558852523766,0.6800605721690315,-1.5498846360843344,-0.14351491177822026,0,2,0,WAS
2.6687705895178855,-1.2142929454968416,-1.3840199752829614,-0.11206014321571778,1.5079251347875988,-0.29683615540298575,1.453243379607709,0,3,1,CHA
2.0843900073093575,0.619518720632559,-2.1024956727859165,-1.4976597069761997,-0.8835434387734767,-0.09484530128273601,-0.38713774061081957,0,3,0,CLE
-3.970887305476975,2.7596378862511632,-0.2503265235537054,0.25077760877044164,1.7742939925716226,2.62342180606057,0.4218581648078012,0,3,0,DET
0.8894858537757784,-0.588472014524482,-0.10704163278568976,-1.6182483974831068,0.13665440458089384,-0.774265651066462,-0.21200929672299018,1,3,1,HOU
-3.2471027686326583,-1.2983727146263238,-0.725078908576373,-0.07133214818193659,0.6819751017423651,-0.1860886309990951,-0.6761724700709598,0,3,1,IND
7.42040954837977,0.8379944001120883,1.803150715798579,0.881285220344699,1.5515602795007541,-0.7099639774735703,-2.539691516406106,1,3,1,LAS
1.3243250882705497,-0.04870131206261051,-1.575213228935002,-0.7192668805291129,0.009991850733101517,-0.34492153825707905,-0.6531177883410262,0,3,0,MIA
-2.773545293984914,-0.2220710283993067,-0.5019306311146915,-0.4799466804357615,0.9140281244233402,1.7180502544662326,-0.919600037259863,1,3,0,MIN
2.7404242963204215,-0.6407104004754898,-0.905848188970769,-1.007101065425046,0.6843205446762289,-0.49349630336692646,0.9202224523205557,0,3,1,NYL
-2.317978474008805,1.2925132186323578,0.4553379877892513,-0.47202229783963023,0.6204184933371638,-1.474262223595777,0.5747658571605607,0,3,0,ORL
-2.4341967464621366,-0.18954121960356374,-0.14354333671155528,-1.050607938794696,0.7947802621086943,1.5450048991521637,-0.4464572489357004,1,3,0,PHO
-3.177797617300493,-1.4365648140439984,0.19053137181549298,0.3234092723304259,0.6829579632000462,-0.14865485329279862,-0.9058309573010682,1,3,0,POR
2.7451889738837365,-0.12236863046839712,0.5879144623371638,-1.2716750590484478,1.0520790508707984,-1.5216429548801607,1.037708272110798,1,3,0,SAC
-3.7501083289057298,-1.4959562130825446,-0.4135824360580709,0.3880774280022962,0.769559440715346,-0.02798938940625331,-0.8115397583590723,1,3,1,SEA
0.3347770904136081,0.7054240998198107,-1.4603310840194517,-0.7004319222698748,-0.26844919054821076,-0.7589921107737362,0.13140881333538254,1,3,1,UTA
-3.977827769209529,0.9732029274806643,-0.04814083117081807,0.668025274346437,0.926070153546313,-1.1928619511248013,0.5602849714771062,0,3,1,WAS
-0.08616008025256966,1.8493818635590513,0.015627153450102006,-1.4507236215812427,0.5520370637436608,-1.9694728214622321,0.21593387308144915,0,4,1,CHA
-3.0351770940961917,-1.528699553070576,0.18869243656595852,-0.13599362930135137,0.7124212434259827,-0.3242680081887492,-0.9151245434075475,0,4,1,CLE
-3.696386915856684,-0.47074440228396913,-0.025793029786435388,0.5189644049722005,0.213655185479134,-0.11921130625581158,-0.27599988776141243,0,4,1,DET
3.0727415278481387,0.07109995013312725,-0.20319966646318643,-2.386526782133843,0.5469853524496732,-1.1703302265527369,-0.6688268644871037,1,4,1,HOU
